point_id,point_name,source,score,complaint_risk,activity_proxy,label,label_source,label_notes,labeled_by,labeled_at
osm-way-551396720,大连路,transit,0.25,0.0,0.0,,,,,
osm-way-1383725119,嫩江路,transit,0.25,0.0,0.0,,,,,
osm-way-1383725122,嫩江路,transit,0.25,0.0,0.0,,,,,
osm-node-5306464717,宁国路,transit,0.12625,0.4770642201834862,0.0,,,,,
osm-node-5306355611,市光路,transit,0.25,0.3047910295616717,0.0,,,,,
osm-node-9381158917,平凉路,transit,0.23875,0.0397553516819571,0.0,,,,,
osm-node-5306355607,延吉中路,transit,0.23875,0.0397553516819571,0.0,,,,,
osm-node-9381199385,抚顺路,transit,0.25,0.0,0.0,,,,,
osm-node-5306444975,新江湾城,transit,0.25,0.0,0.0,,,,,
osm-way-513237663,杨树浦路,transit,0.25,0.0,0.0,,,,,
osm-node-4714822515,杨浦,transit,0.23875,0.0795107033639143,0.0,,,,,
osm-node-4714832178,殷行,transit,0.4835606060606061,0.0795107033639143,0.0,,,,,
osm-node-5306444974,殷高东路,transit,0.25,0.0,0.0,,,,,
osm-node-5306464716,江浦公园,transit,0.25,0.0,0.0,,,,,
osm-node-9381170073,江浦公园,transit,0.25,0.0,0.0,,,,,
osm-node-5306355605,江浦路,transit,0.25,0.0,0.0,,,,,
osm-node-9381173343,江浦路,transit,0.25,0.0,0.0,,,,,
osm-node-5306444972,江湾体育场,transit,0.6970454545454545,0.1325178389398573,0.0,,,,,
osm-way-1383725146,江湾镇,transit,0.25,0.0,0.0,,,,,
osm-relation-6817259,江湾镇,transit,0.25,0.0,0.0,,,,,
osm-node-5306464719,爱国路,transit,0.25,0.3047910295616717,0.0,,,,,
osm-node-5306355609,翔殷路,transit,0.1829166666666667,0.1590214067278287,0.3212121212121212,,,,,
osm-node-5306464718,隆昌路,transit,0.19,0.2120285423037717,0.0,,,,,
osm-node-5306355604,鞍山新村,transit,0.1,0.5300713557594292,0.0,,,,,
osm-way-1350827626,鞍山新村,transit,0.1,0.5300713557594292,0.0,,,,,
osm-node-5306355608,黄兴公园,transit,0.16375,0.3047910295616717,0.0,,,,,
osm-node-5306355606,黄兴路,transit,0.25,0.0,0.0,,,,,
osm-relation-12990323,上海体育大学,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-1282344693,上海市杨浦区业余大学,university,0.2140757575757575,0.1722731906218144,0.0024242424242424,,,,,
osm-way-176978404,上海开放大学,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-relation-2410944,上海海洋大学 (军工路校区),university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-relation-2411142,上海理工大学,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-relation-2410532,上海理工大学 (南校区),university,0.1403257575757575,0.0397553516819571,0.5515151515151515,,,,,
osm-node-6476936972,上海理工大学基础学院校区,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-1293058452,上海电力大学国顺东路校区,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-68741490,上海财经大学,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-312189210,中国人民解放军海军军医大学,university,0.1009507575757575,0.4638124362895005,0.0024242424242424,,,,,
osm-relation-19200404,中国人民解放军海军军医大学,university,0.1534507575757575,0.2782874617737003,0.0024242424242424,,,,,
osm-relation-18788116,同济大学,university,0.7503030303030302,0.0,0.0024242424242424,,,,,
osm-relation-20063014,同济大学彰武路校区,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-relation-3936746,复旦大学,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-68998719,复旦大学（江湾校区）,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-1358137213,解放军国防大学政治学院上海本部,university,0.2515757575757575,0.0,0.0024242424242424,,,,,
osm-way-1360721743,解放军国防大学政治学院上海本部,university,0.2515757575757575,0.0,0.7454545454545455,,,,,
